strain_name,breeder,description,current_price_gbp,original_price_gbp,discount_percent,pack_options,product_url,image_url,overview,growth_and_harvest,experience,seed_type,flowering_period_type,indica_sativa,type_ratio,strain_type_summary,environment,strength,medical_strains,smell_taste,effect,climate,flavor,thc,cbd,yield_indoor,yield_outdoor,height_indoor,height_outdoor,indoor_height_detail,indoor_flowering_time,outdoor_harvest_time,flowering_time,harvest_month,genetic_background,stock_availability,sale_item,most_popular_seeds
Frisian Dew,Dutch Passion Seeds,"Outdoor strain with light purple color. High yield, mold resistant, premium quality. Flowering 7-8 weeks, harvest early October.",16.96,21.2,20.0,3 Feminised Seeds (GBP 16.96) | 5 Feminised Seeds (GBP 25.68) | 10 Feminised Seeds (GBP 40.72) | 50 Feminised Seeds (GBP 193.42) | 100 Feminised Seeds (GBP 366.48),https://www.seed-city.com/dutch-passion-seeds/frisian-dew,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FFrisian_Dew_569e93c4b3f75_120x140.jpg&newxsize=120&newysize=140&fileout=,"The most stunning outdoor strain encountered is a hybrid of Super Skunk female and Purple Star male, perfected over 3 years. This remarkable hybrid stands out among the many Skunk/Purple hybrids produced over the past two decades, featuring a light purple color. It balances 50% Indica and 50% Sativa. Notably, it is a high yielder with an excellent stem to leaf ratio and minimal leafage, demonstrating resistance to mold. This strain represents the pinnacle of outdoor strains and is highly recommended for outdoor growers.",,,Feminized,12/12 Photoperiod,50% Indica/50% Sativa,,,"Indoor, Outdoor, Greenhouse",Normal,,Skunky,,,,,,,,,,,"Short (up to 55 days), Medium (56 to 90 days)",Beginning of October,,,,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Blue Cheese,Big Buddha Seeds,"Winner at the 19th Annual Cannabis Cup, euphoric strain with sweet, fruity, musky aroma. Potent, fresh taste.",30.4,38.0,20.0,5 Feminised Seeds (GBP 30.40) | 10 Feminised Seeds (GBP 43.20) | 50 Feminised Seeds (GBP 205.20) | 100 Feminised Seeds (GBP 388.80),https://www.seed-city.com/big-buddha-seeds/blue-cheese,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FBlue_CheeseBig.jpg&newxsize=120&newysize=140&fileout=,,,,Feminized,12/12 Photoperiod,Indica Dominant,,,"Indoor, Outdoor",Normal,Euphoric,"Fruity, Musky, Sweet",,,,,,,,,,,Medium (56 to 90 days),The End of October,Indoors = 8 - 10 weeks Outdoors = End of Oct.,,,In Stock,Cannabis Seeds Currently on Sale,
Big Buddha Cheese,Big Buddha Seeds,"19th annual Cannabis Cup winner for ""Best Indica"" crossed with Afghani for higher yield and old skool taste.",30.4,38.0,20.0,5 Feminised Seeds (GBP 30.40) | 10 Feminised Seeds (GBP 43.20) | 50 Feminised Seeds (GBP 205.20) | 100 Feminised Seeds (GBP 388.80),https://www.seed-city.com/big-buddha-seeds/big-buddha-cheese,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FBig_Buddha_Cheese.jpg&newxsize=120&newysize=140&fileout=,"Winners of the 19th annual Cannabis Cup ""Best Indica"" have been feminized! Introducing the Original Big Buddha Cheese from Big Buddha Seeds, the UK's top strain, enhanced through crossing with a pure Afghani male. After two years of selective backcrossing, specific beloved traits from the cheese have been isolated. Big Buddha Cheese Feminized boasts an old skool taste from its cheese heritage, improved yield due to the Afghani influence, and is now available in feminized form, maintaining its status as the UK's premier strain.",,,Feminized,12/12 Photoperiod,Indica Dominant,,,"Indoor, Outdoor",Normal,Uplifting,"Dairy, Fruity, Skunky",,,,,,,,,,,"Short (up to 55 days), Medium (56 to 90 days)",The End of October,Indoors = 7 - 9 weeks,,,In Stock,Cannabis Seeds Currently on Sale,
Tutankhamon,Pyramid Seeds,"Small plant with resinous buds, fresh fruity taste, lasting brain effect. 60% Sativa / 40% Indica. 23% THC.",14.6,,,3 Feminised Seeds (GBP 14.60) | 5 Feminised Seeds (GBP 24.40) | 25 Feminised Seeds (GBP 115.90) | 50 Feminised Seeds (GBP 219.60) | 7 Regular Seeds (GBP 54.00),https://www.seed-city.com/pyramid-seeds/tutankhamon,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FTutankhamon_56f930617246e_120x140.jpg&newxsize=120&newysize=140&fileout=,"This AK-47 selection is renowned for its high THC content, one of the highest on the market as of analysis in 2011 at Barcelona Energy Spannabis. Its structure is small, compact, and highly branched, boasting numerous fluffy, resin-rich buds. The plant is productive and offers excellent quality, with a fresh, fruity taste that yields a potent and enduring cerebral effect.",,,"Regular , Feminized",12/12 Photoperiod,Sativa Dominant,,,"Indoor, Outdoor",Super Strength,,Fruity,,,,23% CBN: 0.6% CBD: 1.8%,,,,,,,Medium (56 to 90 days),Middle of October,,,,In Stock,,Most Popular Cannabis Seeds
White Widow,Royal Queen Seeds,"Legendary strain with balanced genetics, powerful high. Grows well indoors/outdoors, pine-fresh flavor.",17.8,,,3 Feminised Seeds (GBP 17.80) | 5 Feminised Seeds (GBP 26.80) | 10 Feminised Seeds (GBP 49.20) | 50 Feminised Seeds (GBP 233.70) | 100 Feminised Seeds (GBP 442.80),https://www.seed-city.com/royal-queen-seeds/white-widow,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FWhite_Widow_5696f6d708e9e_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,Feminized,12/12 Photoperiod,50% Indica/50% Sativa,Sativa 50% Indica 50%,Feminized,"Indoor, Outdoor, Greenhouse","Super Strength , Normal",Cerebral,"Citrus, Piney","Powerful , Stoned",Long Summers,"Earthy, Pepper, Pine",19%,Low,450 - 500 gr/m2,550 - 600 gr/plant,60 - 100 cm,150 - 190 cm,Medium (81cm - 140cm),Medium (56 to 90 days),The End of October,8 - 10 weeks,Early October,White Widow S1,In Stock,,
Big Devil #2,Sweet Seeds,3rd gen strain with increased size and productivity. Sweet aroma with hints of incense and Skunk. Indoor yield of 400-600 g/m2.,32.4,,,5 Feminised Seeds (GBP 32.40) | 25 Feminised Seeds (GBP 153.90) | 50 Feminised Seeds (GBP 291.60),https://www.seed-city.com/sweet-seeds/big-devil-2,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FBig_Devil__2_56d5ca7e68e22_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,Feminized,Autoflowering,,,,"Indoor, Outdoor, Greenhouse",Normal,,,,,,,,,,,,"Medium (81cm - 140cm), Tall (140cm plus)",Medium (56 to 90 days),,,,,In Stock,,
Afghan Skunk,Advanced Seeds,"Indica/Sativa hybrid with robust structure, large dense buds, powerful aroma. 8 week flowering time, 400 gr/m2 yield, 17% THC.",14.8,,,3 Feminised Seeds (GBP 14.80) | 5 Feminised Seeds (GBP 24.60) | 25 Feminised Seeds (GBP 116.85) | 50 Feminised Seeds (GBP 221.40),https://www.seed-city.com/advanced-seeds/afghan-skunk,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FAfghan_Skunk_55844bb0dcaf9_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,Feminized,12/12 Photoperiod,50% Indica/50% Sativa,,,"Indoor, Outdoor",Normal,,,,,,17%,,,,,,Medium (81cm - 140cm),"Short (up to 55 days), Medium (56 to 90 days)",The End of October,,,,In Stock,,Most Popular Cannabis Seeds
Honey Cream Fast V,Royal Queen Seeds,"Fast-flowering indica strain with dense, resinous buds. Relaxing stone effect, sweet aroma, versatile for indoor and outdoor growing. High yields.",17.8,,,3 Feminised Seeds (GBP 17.80) | 5 Feminised Seeds (GBP 26.80) | 10 Feminised Seeds (GBP 49.20) | 50 Feminised Seeds (GBP 233.70) | 100 Feminised Seeds (GBP 442.80),https://www.seed-city.com/royal-queen-seeds/honey-cream-fast-v,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FHoney_Cream_Fast_6462723fd81c1_120x140.jpg&newxsize=120&newysize=140&fileout=,"Honey Cream Fast V, gaining popularity in Spain, is a potent mix of heavy Indicas including BlueBlack, Maple Leaf Indica, and White Rhino. It presents as a beautiful, complex plant demonstrating hybrid vigour.
With its deep, relaxing effects, Honey Cream Fast Flowering caters to those seeking tranquility. Its growth is typical of indicas—short, bushy, with a dense canopy of resinous buds. It flowers rapidly within 7 to 8 weeks, offering an impressive indoor yield of up to 650g/m² under optimal conditions, and comparable outdoor yield by September.
The strain is noted for its sweet, sugary, caramel-like aroma and sweet, slightly earthy flavor. Expect a variety of tastes and smells, with a predominant sweet, creamy caramel aroma standing out.",,,Feminized,12/12 Photoperiod,Indica Dominant,Sativa 35% Indica 65%,Feminized,"Indoor, Outdoor",Super Strength,"Psychedelic, Relaxing","Caramel, Earthy, Honey, Sweet",Psychedelic,Short Summers,"Candy, Earthy",16%,Medium,500 - 550 gr/m2,625 - 675 gr/plant,100 - 160 cm,180 - 250 cm,Tall (140cm plus),Short (up to 55 days),Beginning of October,7 - 8 weeks,Early October,BlueBlack x Maple Leaf Indica x White Rhino,In Stock,,Most Popular Cannabis Seeds
Strawberry Cake,Heavyweight Seeds,"Potent strain with classic Cheese taste and fruity sweetness. Ideal for medical use, rapid growth, and high yields.",19.6,,,3 Feminised Seeds (GBP 19.60) | 5 Feminised Seeds (GBP 29.00) | 10 Feminised Seeds (GBP 53.40) | 50 Feminised Seeds (GBP 253.65) | 100 Feminised Seeds (GBP 480.60),https://www.seed-city.com/heavyweight-seeds/strawberry-cake,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FStrawberry_Chees_5695bf3b47c56_120x140.jpg&newxsize=120&newysize=140&fileout=,"Strawberry Cake comes from crossing a stinky cheese strain with fruity and potent Chronic, creating a delightful smoke for enthusiasts. It combines the classic Cheese flavor with a sweet aroma and provides a strong, heavy hit. Besides recreational use, it's said to be recommended for medical issues like arthritic and muscular pain. The plant exhibits rapid growth, producing thick buds, yet it remains short and stocky, making it suitable for limited spaces. Strawberry Cake is both high-yielding and potent, offering a great balance of quality and quantity.",,,Feminized,12/12 Photoperiod,Indica Dominant,mostly Indica (70%),,"Indoor, Outdoor",Super Strength,General Pain,"Cake, Cheese, Dairy, Sweet",,,,22%,1.3%,,,,,,Medium (56 to 90 days),Beginning of October,8 weeks,,,In Stock,,
Desfran,Dutch Passion Seeds,"Legendary prize-winning 100% Sativa from South America. Fruity aroma and taste. Suitable for SOG and SCOG methods. XXL production, 9-10 week flower time.",20.32,25.4,20.0,3 Feminised Seeds (GBP 20.32) | 5 Feminised Seeds (GBP 30.48) | 10 Feminised Seeds (GBP 50.88) | 50 Feminised Seeds (GBP 241.69) | 100 Feminised Seeds (GBP 457.92),https://www.seed-city.com/dutch-passion-seeds/desfran,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FDesfran_54088228d213c_120x140.jpg&newxsize=120&newysize=140&fileout=,"Desfrán, a renowned South American strain, owes its origins to a cross of Destroyer with Destroyer, blending genetics from Mexican Oaxaca, Colombian Punto Rojo, and Meao Thai. Introduced to Europe through collaboration with Alberto of Haze Magazine, this 100% Sativa strand comes highly recommended by the Master Grower and Cannabis Connoisseur himself.",,,Feminized,12/12 Photoperiod,Sativa,,,"Indoor, Greenhouse",Normal,Psychedelic,"Caramel, Fruity, Grape, Melon",,,,,,,,,,,Medium (56 to 90 days),,,,,In Stock,Cannabis Seeds Currently on Sale,
Auto Dark Purple,Delicious Seeds,"Compact plant with sweet aroma & purple buds. Ideal for discreet balcony. Indica auto, 45-55 days maturation, sweet fruit flavor, high pest resistance.",21.4,,,3 Feminised Seeds (GBP 21.40) | 5 Feminised Seeds (GBP 34.00) | 10 Feminised Seeds (GBP 58.00) | 50 Feminised Seeds (GBP 275.50) | 100 Feminised Seeds (GBP 522.00),https://www.seed-city.com/delicious-seeds/auto-dark-purple,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FJota_Mayuscula_P_55762e4cb1a20_120x140.jpg&newxsize=120&newysize=140&fileout=,"OG Kush was crossed with a first generation Purple Kush Auto and then further enhanced through five generations. This meticulous process aimed at preserving the sweet Kush aroma and the purple color of the bud clusters, which are present in almost all cases. The resulting strain is a compact, first-generation auto-flowering plant with an ideal canopy size for discreet urban balcony growth. The purple leaves also offer a level of camouflage.",,,Feminized,Autoflowering,Indica Dominant,,,"Indoor, Outdoor, Greenhouse",Normal,,"Fruity, Sweet",MEDICINAL,,SWEET FRUIT,,,,,,,,Short (up to 55 days),,,,,In Stock,,Most Popular Cannabis Seeds
Dutch Kush,Paradise Seeds,"Powerful indica with Dutch genetics, known for hash production. High yield and quick flowering.",39.9,,,5 Feminised Seeds (GBP 39.90) | 25 Feminised Seeds (GBP 189.53) | 50 Feminised Seeds (GBP 359.10),https://www.seed-city.com/paradise-seeds/dutch-kush,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FDutch_Kush_577946d005ed8_120x140.jpg&newxsize=120&newysize=140&fileout=,"Lowlands Classic Dutch Kush is a highly potent and relaxing Indica-dominant cannabis plant. It's designed for those seeking serenity and is perfect for couch lock or medical use. With its fast growth and large size, this variety stands out in the Kush family. Paradise Seeds has enhanced the typical Kush with Dutch genetics for increased strength and performance, adding a special genetic accelerator.",,,Feminized,12/12 Photoperiod,Indica Dominant,,,Indoor,Normal,"Couch Lock, Relaxing",,,,,,,,,,,,Medium (56 to 90 days),,,,,In Stock,,
Ice Cool CBD,Sweet Seeds,"CBD-rich strain with strong aroma, high resin production, and exotic flavors. Balanced THC:CBD ratio, suitable for indoor growing, and high yields.",22.8,,,3 Feminised Seeds (GBP 22.80) | 5 Feminised Seeds (GBP 37.40) | 25 Feminised Seeds (GBP 177.65) | 50 Feminised Seeds (GBP 336.60),https://www.seed-city.com/sweet-seeds/ice-cool-cbd,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FIce_Cool_CBD_5a78eb55d4ab5_120x140.jpg&newxsize=120&newysize=140&fileout=,"Ice Cool CBD® is a high CBD variant of the popular Ice Cool® strain, combining Ice Cool® with a selected CBD-rich Diesel clone. This strain features a balanced THC:CBD ratio of 1:1 to 1:2, rich in Cannabidiol (CBD), making it an appealing choice for those seeking the therapeutic effects of CBD. It is known for its high yield, significant resin production, and distinctive, strong aromas that include citrus, wood, cypress, and exotic spices. Designed to meet the needs of indoor cultivation, Ice Cool CBD® exhibits characteristics typical of Indica-Sativa hybrids, boasting both productivity and aromaticity.",,,Feminized,12/12 Photoperiod,Sativa Dominant,,,"Indoor, Outdoor",Normal,,"Citrus, Spicy, Woodsy",,,,5-12% · CBD: 9-13%,,,,,,,Medium (56 to 90 days),The End of September,,,,In Stock,,
Green Gelato,Royal Queen Seeds,"Potent hybrid with high THC. Short 8-9 week flowering. Dense, colorful buds with fruity aroma.",29.0,,,3 Feminised Seeds (GBP 29.00) | 5 Feminised Seeds (GBP 44.20) | 10 Feminised Seeds (GBP 80.40) | 50 Feminised Seeds (GBP 381.90) | 100 Feminised Seeds (GBP 723.60),https://www.seed-city.com/royal-queen-seeds/green-gelato,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FGreen_Gelato_64626f756e517_120x140.jpg&newxsize=120&newysize=140&fileout=,"Green Gelato, a delectable hybrid from the Royal Queen Seeds collection, blooms in 8–9 weeks, fusing the essences of Thin Mint Cookies and Sunset Sherbet into a rich dessert cannabis strain. Originating from the San Francisco Bay area's breeding efforts, this hybrid encompasses the highest standards of dessert cannabis, boasting exclusive genetics and a connoisseur-grade lineage.",,,Feminized,12/12 Photoperiod,Indica Dominant,Sativa 45% Indica 55%,Feminized,"Indoor, Outdoor",Super Strength,"Body Stone, Creative, Uplifting","Citrus, Earthy, Minty, Sweet","Clear, Physically Relaxing",Long Summers,"Citrus, Earthy, Mint, Pepper, Vanilla",27%,Low,500 - 700 gr/m²,800 gr/plant,80 - 120 cm,150 - 200 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Beginning of October,8 - 10 weeks,Early October,Sunset Sherbet x Thin Mint Girl Scout Cookies,In Stock,,Most Popular Cannabis Seeds
Purple Sunset,Dank Genetics,"Potent indica-dominant hybrid with high THC levels. Medium to high yields, 63-70 day flowering period.",64.9,,,7 Feminised Seeds (GBP 64.90) | 35 Feminised Seeds (GBP 308.28) | 70 Feminised Seeds (GBP 584.10),https://www.seed-city.com/dank-genetics/purple-sunset,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FPurple_Sunset_5bb2a0d804480_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,Feminized,12/12 Photoperiod,Indica,,,"Indoor, Outdoor",Normal,,,,,,,,,,,,,Medium (56 to 90 days),,,,,In Stock,,
Frosty Gelato,Growers Choice,"Popular sweet flavor, reliable plants from Grower's Choice. Available at Seed City 420 Bank.",16.0,,,4 Feminised Seeds (GBP 16.00) | 7 Feminised Seeds (GBP 25.00) | 14 Feminised Seeds (GBP 40.00) | 70 Feminised Seeds (GBP 190.00) | 140 Feminised Seeds (GBP 360.00),https://www.seed-city.com/growers-choice/frosty-gelato,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FFrosty_Gelato_5cdee01c00f2c_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,Feminized,12/12 Photoperiod,Sativa Dominant,,,"Indoor, Outdoor",Super Strength,,Fruity,,,,,,500 to 700 grams per m2,up to 800grams per plant,,5 to 7 foot,,Medium (56 to 90 days),Beginning of October,,,,In Stock,,
Gorilla,Seed Stockers,"Potent, award-winning strain with resinous buds. Indica-dominant, medium height plant with 9-week flowering period. Strong high for experienced users.",30.4,,,3 Feminised Seeds (GBP 30.40) | 5 Feminised Seeds (GBP 45.60) | 25 Feminised Seeds (GBP 182.20) | 125 Feminised Seeds (GBP 865.45) | 250 Feminised Seeds (GBP 639.80),https://www.seed-city.com/seed-stockers/gorilla-glue,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FGorilla_Glue_5e29eaa8e6b2d_120x140.png&newxsize=120&newysize=140&fileout=,,,,Feminized,12/12 Photoperiod,Indica Dominant,,,"Indoor, Outdoor",Super Strength,Relaxing,Sweet,Happy Chill,,Earthy Sour,High (23 - 26%),,,,,,Medium (81cm - 140cm),Medium (56 to 90 days),,,,,In Stock,,
Kerosene Krash,Dutch Passion Seeds,"High-quality strain with gassy taste, rock-hard buds, strong terpene profile. Medium-height plants, generous yields, potent effects.",17.92,22.4,20.0,1 Single Feminised Seed (GBP 17.92) | 3 Feminised Seeds (GBP 61.04) | 5 Feminised Seeds (GBP 91.60) | 10 Feminised Seeds (GBP 149.28) | 50 Feminised Seeds (GBP 709.08) | 100 Feminised Seeds (GBP 343.52),https://www.seed-city.com/dutch-passion-seeds/kerosene-krash,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FKerosene_Krash_5e2f9c3fd431b_120x140.jpg&newxsize=120&newysize=140&fileout=,"Impressed with a spectacular Gorilla #4 specimen in our collection, we created the extremely gassy Kerosene Krash by cross-pollinating a standout GG#4 female with a male Sherbet. The result is a stable, feminized seed line known for its remarkable terpene profile. Kerosene Krash is a medium-height plant with generous yields, popular not for its size but its intense gassy flavors. It features numerous side branches with rock-hard, aromatic buds.",,,Feminized,12/12 Photoperiod,Indica Dominant,,,"Indoor, Outdoor",Super Strength,,"Fuel, Gassy",,,,,,,,,,,Medium (56 to 90 days),,8 weeks,,,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Original Glue (GG4),GG Strains,Highly sought-after cannabis seeds with amazing genetics and history. Indica dominant strain known for medical benefits and creative buzz.,84.9,,,6 Feminised Seeds (GBP 84.90) | 30 Feminised Seeds (GBP 403.28) | 60 Feminised Seeds (GBP 764.10),https://www.seed-city.com/gg-strains/original-glue-gg4,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FOriginal_Glue__G_5e9f64ba8e4f9_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,Feminized,12/12 Photoperiod,Indica Dominant,,,"Indoor, Outdoor",Super Strength,"Appetite Stimulant, Creative, Euphoric, General Pain, Relaxing, Social, Stress Relief","Earthy, Fuel, Gassy, Piney, Sour",,,,,,,,,,,Medium (56 to 90 days),,,,,In Stock,,Most Popular Cannabis Seeds
Mimosa,BSB Genetics,"Potent sativa strain with high THC levels. Citrus aroma, energizing, creative, and pain-relieving effects.",32.8,,,5 Feminised Seeds (GBP 32.80) | 10 Feminised Seeds (GBP 59.40) | 50 Feminised Seeds (GBP 282.15) | 100 Feminised Seeds (GBP 534.60),https://www.seed-city.com/bsb-genetics/mimosa,https://www.seed-city.com/components/com_virtuemart/themes/yagendoo_VaMazing/images/pic-coming.jpg,"Mimosa, a high-strength sativa, invigorates users with energy and joy, boosts creativity, and alleviates stress, anxieties, and physical pains. Drawing its name from the citrus-flavored cocktail, Mimosa has a citric aroma and a mix of earthy, sour orange, and berry flavors. Launched in 2017, it has gained popularity for its exquisite taste and aroma, inherited from its Clementine parent.",,,Feminized,12/12 Photoperiod,Sativa Dominant,,,"Indoor, Outdoor",Super Strength,"Anxiety, Stress Relief","Citrus, Earthy, Fruity, Orange, Sour, Sweet, Tangy",,,,20-27%,,,,,,,Medium (56 to 90 days),,8-9 weeks,,,In Stock,,Most Popular Cannabis Seeds
Biscotti Mintz,Barneys Farm Seeds,"Biscotti Mintz is a potent Indica-dominant plant with purple hues, kushy flavors, and a creative, relaxing high.",23.4,,,3 Feminised Seeds (GBP 23.40) | 5 Feminised Seeds (GBP 33.20) | 10 Feminised Seeds (GBP 57.60) | 50 Feminised Seeds (GBP 273.61) | 100 Feminised Seeds (GBP 518.40),https://www.seed-city.com/barneys-farm-seeds/biscotti-mintz,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FBiscotti_Mintz_611d215821929_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,Feminized,12/12 Photoperiod,Indica Dominant,Feminised,,"Indoor, Outdoor",Normal,"Creative, Focused, Motivational, Relaxing","Dairy, Minty, Spicy",,,,,,,,,,,Medium (56 to 90 days),"Beginning of October, Middle of October",,,,In Stock,,Most Popular Cannabis Seeds
Original Cinderella Auto,FastBuds,"Sativa-dominant hybrid with high yields, compact growth, and fruity terpene profile. Potent, uplifting high with relaxing finish.",21.4,,,3 Feminised Seeds (GBP 21.40) | 5 Feminised Seeds (GBP 35.80) | 10 Feminised Seeds (GBP 62.60) | 50 Feminised Seeds (GBP 297.36) | 100 Feminised Seeds (GBP 563.40),https://www.seed-city.com/fastbuds/original-cinderella-auto,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FOriginal_Cindere_6140b42dd755a_120x140.jpg&newxsize=120&newysize=140&fileout=,"Cinderella Auto is a Sativa-dominant hybrid known for its high potency and uplifting effects, breeding for a high bud-to-leaf ratio, resulting in ease of trimming and higher yields, potentially up to 550gr/m2. Despite reaching a height of 120cm, its compact nature suits growers with limited space. It produces dark-green, thick buds with a fluffy appearance due to elongated hairs and significant trichome coverage, ensuring an appealing look and a delicious tropical scent.
The strain delivers a strong Sativa effect that evolves from an energetic and joyful high to a more relaxed state without causing couch-lock. Its growth characteristics include a thick main stem, multiple side branches filled with nugs, and minimal foliage, thanks to its balanced genetics. Cinderella Auto requires minimal maintenance but benefits from feeding and support in the later flowering stages to hold up the dense buds.
Its flavor profile combines tropical pineapple, ripe peach, and subtle piney and skunky undertones, providing a smooth and enjoyable smoking experience that tastes like tropical citrus candy.",,,Feminized,Autoflowering,Sativa Dominant,,,"Indoor, Outdoor",Normal,"Relaxing, Uplifting","Citrus, Fruity, Pineapple, Skunky, Sweet",,,,Up to 23%,< 1%,,,,,Medium (81cm - 140cm),Medium (56 to 90 days),,,,,In Stock,,
Moby Dick Auto,Barneys Farm Seeds,"Highly mold-resistant, Sativa-dominant strain with strong genetics for high production and complex terpene profile with nostalgic aromas.",23.4,,,3 Feminised Seeds (GBP 23.40) | 5 Feminised Seeds (GBP 33.20) | 10 Feminised Seeds (GBP 57.60) | 50 Feminised Seeds (GBP 273.61) | 100 Feminised Seeds (GBP 518.40),https://www.seed-city.com/barneys-farm-seeds/moby-dick-auto,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FMoby_Dick_Auto_622662db6b833_120x140.jpg&newxsize=120&newysize=140&fileout=,"Moby Dick Auto, birthed by Barneys Farm, merges the legendary White Widow and G13 Haze with BF Super Auto #1, enhancing its lineage to create a mold-resistant, Sativa-dominant powerhouse. Despite its transformation into a more compact auto-flowering variant, it retains impressive production levels, potency, and aromatic complexity. The strain exhibits a rich terpene profile, blending scents of sour lemon, haze, spicy pine incense, and vanilla, and maintains a 70% Sativa to 30% Indica ratio. For optimal seed storage, a cool, dark, airtight container—preferably a refrigerator—is reportedly advised, ensuring they are properly labeled and dated without freezing.",,,Feminized,Autoflowering,Sativa Dominant,Feminised,,"Indoor, Outdoor",Normal,,"Incense, Lemon, Piney, Sour, Spicy, Vanilla","Uplifting Energetic, Chatty Effect","Cool, Hot & Temperate",,,,,,,,Medium (81cm - 140cm),Medium (56 to 90 days),,,,,In Stock,,Most Popular Cannabis Seeds
Godfather Bomb,Bomb Seeds,"Powerful strain with 30% THC, strong body stone and euphoric buzz. Easy to grow, high yield, great for pain relief and insomnia.",29.8,,,5 Feminised Seeds (GBP 29.80) | 10 Feminised Seeds (GBP 55.80) | 50 Feminised Seeds (GBP 265.05) | 100 Feminised Seeds (GBP 502.20),https://www.seed-city.com/bomb-seeds/godfather-bomb,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FBanana_Bomb_626820a852d24_120x140.jpg&newxsize=120&newysize=140&fileout=,"The Godfather, with its formidable 30% THC content, commands respect in the marijuana world. Originating from a special gift of seeds, our dedicated breeding team has preserved its superior genetics for your enjoyment. This indica-dominated powerhouse features rich green leaves, potentially tinged with purple, and produces dense, rock-hard buds whether grown indoors or outdoors. It is particularly effective for those seeking relief from insomnia or pain, offering a profound body stone and a deep, euphoric stupor.",,"Approach Godfather Bomb with caution: its powerful effect is not for the faint-hearted, providing veterans and novices alike with a heavy, sedating high ideal for combating physical discomfort and fostering relaxation.",Feminized,,Indica Dominant,Indica/Sativa (70/30),,"Indoor, Outdoor",Super Strength,"Body Stone, Cerebral, Euphoric, General Pain, Insomnia",,,,,Very High (27-30%),,,,,,Medium (81cm - 140cm),Medium (56 to 90 days),The End of September,,,,In Stock,,
Gorilla Punch Auto,FastBuds,"High THC, purple buds, potent effect, large yields, tasty terpenes, social use, anxiety relief, creativity.",32.2,,,3 Feminised Seeds (GBP 32.20) | 5 Feminised Seeds (GBP 49.20) | 10 Feminised Seeds (GBP 88.40) | 50 Feminised Seeds (GBP 419.90) | 100 Feminised Seeds (GBP 795.60),https://www.seed-city.com/fastbuds/gorilla-punch-auto,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FGorilla_Punch_Au_6269774c68a70_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,Feminized,Autoflowering,Indica Dominant,,,"Indoor, Outdoor",Super Strength,,"Citrus, Lemon, Peppery, Sour, Spicy, Sweet, Woodsy",,,,Up to 26%,< 0.5%,,,,,Medium (81cm - 140cm),Medium (56 to 90 days),,,,,In Stock,,Most Popular Cannabis Seeds
